;наименование;штрихкод
1013;Масло Крестьянское 72,5 % контейнер;4607025501336
1014;Масло Традиционное 82,5 % контейнер;4607025501312
1033;Масло Традиционное 82,5 % контейнер 350 гр;4607025501329 
1030;Масло ШЕКСНА Крестьянское весовое;
2024;Масло  Вологодское фольга;4601959002914
2025;Масло Крестьянское фольга;4601959002921
2026;Масло Шоколадное;4601959003171
2027;Масло топленое;4601959003607
2052;Масло Вологодское в кер. Горшочке;4601959005564
2063;Масло сливочное Вологодское 0,9 кг туес ;
2064;Масло  Вологодское в боч. Роспись 0,35 ;
2067;"Масло  ""Вологодское"" 82,5%  туес 0,2 кг";
2069;Масло  Вологодское в бочонке Досочка 0,8;
2070;Масло сливочное Вологодское туес 0,4 кг;
2072;Масло  Вологодское в бочонке Досочка 0,45;
9037;"Масло топленое ""Устюжанка"" 200 гр";4607051841864 
9018;Масло Шоколадное 62 % (п.Молочное);4603427002976
9034;Масло сливочное Вологодское 180гр.(п. Молочное);4603427001313 
9035;Масло сливочное Любительское соленое  80,0%  180 г (п.Молочное);4603427003027 
9039;Масло крестьянское п.Молочное;
8001;Масло Крестьянское ТАРНОГА мал;4607173530196
8002;Масло Крестьянское ТАРНОГА больш;4607173530202
8005;Масло Крестьянское ТАРНОГА 1 кг;
8003;Масло Крестьянское весовое;
9040;Масло Крестьянское монолит (Тотьма);
9005;Молоко сухое цельное 26,0 % фас. 1кг ;4607009833125
9010;Сухое цельное молоко 26 % 400 гр;4600742010105
9013;Молоко сухое обезжиренное  фас. 500 гр ;
2028;Сыр плавленый колбасный копченый бат.300г;4601959006622
2074;Сыр плавленый колбасный копченый бат.400г;
12001;Сыр Адыгейский (кусочек 300гр);4607025501770
9014;сыр рассольный Сиртаки Классический 200гр;4607023233246
9043;Сыр Comella 40% рассольный 200 гр;
2054;Сыр Волжский весовой;
2056;Сыр Костромской весовой;
2060;Сыр Российский весовой;
2073;"Сыр"" Гауда-Углич"" весовой";
2029;"Сыр ""Волжский"" фас.";2031220002718
2030;"Сыр ""Пошехонский ""ИТ"" фас.";2032560003250
2031;"Сыр ""Костромской ИТ"" фас";2032520002736
2032;"Сыр ""Золотое Кольцо"" фас";
2033;"Сыр ""Российский""  молодой фас";2032320002936
2034;"Сыр ""Маасдам""";2032510003171
2051;"Сыр ""Славянский""";2032110002986
2036;"Сыр плавленый ""Городской"" ";4601959004062
2037;"Сыр плавленый ""Кисломолочный""";4601959004253
2038;"Сыр плавленый ""Славянский""";4601959004222
2039;"Сыр плавленый ""Русич""";4601959004208
-1;"Сыр плавленый ""Кавказский""";4601959004314
2041;"Сыр плавленый ""С грибами для супа""";4601959004284
3001;"Коврижка медовая Любительская с изюмом (ПО ""Шекснахлеб"")";
3002;"Сухари Молочные (ПО ""Шекснахлеб"")";
3022;Сухари Маковые ;
3025;"Сухари ""Киевские"" с изюмом (ПО ""Шекснахлеб"")";
3003;Шакер - чурек в контейнере 0,420;
3013;Шакер - чурек весовое;
3004;"Щербет ""Арахисовый"" ";
3024;"Щербет ""Нежный""";
3005;"Конфеты "" Фруктово-ягодный сахар""  в контейнере 0,300";
3020;"Конфеты ""Фруктово-ягодный сахар""весовые";
3006;Курабье Бакинское в контейнере 0,360 гр (ПО ШекснаХлеб);
3014;Курабье Бакинское весовое;
3007;Шакер-пури в контейнере 0,360 гр (ПО ШекснаХлеб);
3015;Шакер-пури весовое;
3008;"Кекс ""Творожный с изюмом"" в контейнере 0,360 (ПО ШекснаХлеб)";
3016;"Кекс ""Творожный с изюмом"" весовое";
3009;"Печенье ""Заварное"" в контейнере 0,280 гр (ПО ШекснаХлеб)";
3017;"Печенье ""Заварное"" весовое";
3010;"Печенье ""Листик"" в контейнере 0,4 гр (ПО ШекснаХлеб)";
3018;"Печенье ""Листик"" весовое";
3019;"Печенье ""Песочное"" весовое";
3030;"Печенье ""Песочное"" в конт. 0,4кг";
3021;"Печенье ""Молочай""  весовое";
3037;"Печенье ""Молочай творожный""";
3039;"Печенье ""Крустиланта"" зерновая";
3011;Сочни с творогом из песочного теста 0,110 (ПО Шекснахлеб);
3012;Сочни с вареной сгущенкой из песочного теста;
3026;"Печенье ""Звездочка"" контейнер ";
3027;"Печенье ""Звездочка"" ";
3028;"Печенье  ""Перышко""  0,46 кг.";
3040;"Печенье  ""Перышко"" вес.";
3029;"Печенье ""Елочка"" ";
3031;Колбаска сливочная востоные сладости  0,250 контейнер;
3032;Печенье Кофейное Ассорти весовое;
3033;Печенье Шоколадное Ассорти весовое;
3034;"Печенье ""Мария"" 300 гр";
3035;"Печенье ""Сластена"" 300 гр";
3036;"Печенье "" Нежное"" с кунжутом"" 300 гр";
3038;Печенье Мария/Сластена весовое;
14001;Сушка с маком;4607063420309, 4610008335842,4610008333794
14004;"Сушка ""Горчичная"" фас.";4610008335811
14034;Сухари в ассортименте;
16004;Сухари в асс-те Череповецкие 0,5 гр (ЧХК);4603357000790,4603357011031,4603357000738,4603357000660,4603357002398
16032;"Печенье ""Ванильная нежность"" весовое";
16037;Печенье Творожное (ЧерХлебКомб);
16022;"Тортик ""по - домашнему"" 0,100гр";
16024;"Батон ""Нарезной"" пол/наре.0,200 гр ";4603357006495
16025;"Хлеб ""Дарницкий"" нарезка 0,325 гр ";4603357006501
16026;Бублик с маком;
16027;"Пирожное "" Картошка с обсыпкой"" 0,240";4603357006563
16033;Пирожное Муравьиный дом (уп 2 шт);
16034;Пирожное Песочное глазиров. помадой;
16038;Пироженое Эклер с обсыпкой 0,150;
16028;торт Веселая буренка 850 гр;4603357006358
16029;торт Гритинский 500гр;4603357009601
16030;торт Пинча Кучерявый 1кг;4603357004576
16035;торт Бисквитно-Кремовый 500 гр;4603357009946
16036;торт Милютинский 600 гр;4603357011147
16048;"Конфеты птичье молоко"" Северные узоры""";
16054;Хлебцы Шотландские в уп. 0.1 кг;
4001;Конфеты «Клюковка» в коробке 250 гр;4607068491236
4002;Конфеты Клюковка весовые;
4116;Конфеты Клюковка весовые  б/з;
4003;Конфеты Птичка вологодская весовые;
4022;"Конфеты ""Птичка Вологодская с брусникой""";
4105;"Конфеты ""Вологодская птичка"" пенал 150 гр";
4004;Мармелад с Ягодами клюквы весовой;
4005;Мармелад имбирный;
4038;Мармелад Фантазия со вкусом клубники;
4035;"Мармелад ""Дары Осени""";
4039;Мармелад Антистресс;
4040;"Мармелад ""Вологодские Забавы"" ";
4041;"Мармелад "" Сладкий серпантин""";
4066;"Мармелад ""Морковный""";
4067;"Мармелад ""Кленовый""";
4068;"Мармелад ""Вологодский колейдоскоп"" с черникой";
4071;Мармелад со вкусом грейпфрукта;
4073;Мармелад «Благодатный» с ИВАН-ЧАЕМ;
4077;Мармелад Коктейль (сокосодержащий, незавернутый);
4117;"Мармелад ""Со вкусом дыни""";
4118;"Мармелад  ""С орешками""(грецкий орех)";
4119;"Мармелад ""Со вкусом ананаса и кокоса""";
4007;"Зефир "" Вилюрный"" весовой";
4008;"Зефир "" Ванильный"" весовой";
4009;"Зефир ""Сливочный"" весовой";
4010;"Зефир ""Грибы"" весовой";
4011;"Зефир ""Банан"" весовой";
4016;"Зефир в шоколаде ""Классика""";
4017;"Зефир ""5 баллов"" весовой";
4018;"Зефир ""Клубника со сливками"" весовой";
4021;Зефир в шоколаде с брусникой;
4023;Зефир Пломбирчик (в завертке)4 кг;
4028;Зефир в шок с облепиховым джемом;
4029;Зефир Вологодское лукошко со свеклой;
4030;Зефир Вологодское лукошко с морковью;
4031;Зефир Вологодское лукошко с аронией;
4032;"Зефир ""Чудный""  с я годами годжи";
4033;Зефир с Морской капустой;
4034;"Зефир  ""Кофейно-Сливочный"" ";
4036;Зефир Колобок;
4042;"Зефир  ""Со сгущенкой"" ";
4043;"Зефир  ""Со вкусом сливок"" ";
4045;"Зефир ""Вологодский""";
4046;"Зефир ""С курагой""";
4050;"Зефир ""С черносливом""";
4047;"Зефир  ""Ассорти""";
4049;"Зефир "" Со вкусом йогурта"" ";
4051;Зефир Крем-Брюле;
4065;Зефир Бело-розовый ;
4069;"Зефир  ""Облачко""";
4110;"Зефир ""С лимончиком""";
4111;"Зефир ""С морошкой""";
4112;Зефир на фруктозе в ассортименте;
4115;"Зефир ""Одуванчик""";
;"Зефир ""К чаю""";
4103;"Зефир глазированный"" Ягодные фантазии""";
4108;Зефир 5 баллов к/к 240 гр;
4109;Зефир 5 баллов 180 гр (Отличный);
4013;Мармелад с ягодами клюквы коробка;4607068494169
4014;Мармелад имбирный коробка;4607068495579
4048;Мармелад Антистресс  коробка 270 гр;
4037;"Мармелад "" С топинамбуром"" коробка 0,2 кг ";4607068495647
4107;Мармелад Ассорти на фруктозе коробка 200 гр;
4019;Карамель малина+киви+лимон+имбирь;4607068495845
4020;Карамель барбарисовая ;4607068495302
4078;Карамель Дюшесовая;4607068497252 
4083;"Карамель ""Рачки-бодрячки"" п/п 0,200гр ";
14003;"Конфеты ""Гулли"" 0,03 гр ";
4024;Монпансье Леденцовое в асс-те;4607068495357,4607068496125 
4044;Монпансье Леденцовое в асс-те 130 гр;4607068490321
4101;"Карамель мини ""С кунжутом"" 50 гр";
4025;"Карамель ""Театральная афиша"" на палочке";
4026;"Суфле""Дважды два"" в завертке";
4027;Вафельные Хрустяшки в завертке;
4060;"Драже ""Лимонная свежесть"" 250 гр";4607068495067 
4061;Драже Заморские камешки 40 гр(Пирамидка);4607068497719 
4100;"Драже ""Арахис в какао"" 50 гр";
4062;Конфеты Везучая  весовые;
4074;Конфеты Оригинальные (10 заповедей ДМ) (в/з);
4075;Конфеты Айва (в/з);
4079;"Конфеты ""Чернослив"" в/з ";
4080;"Конфеты ""Курага"" в/з ";
4081;"Конфеты ""Добрячок"" в/з ";
4099;"Конфеты ""С халвой"" в/з ";
4082;"Ирис ""Борис"" в/з (ВолКонд)";
4063;"Пастила ""Ореховая"" ";
4064;"Пастила ""ЖЕМАНЭЛЬ""";
4113;"Пастила ""Яблочная""";
4114;Пастила на фруктозе в ассортимете;
4072;Зефир «Десертный» 90 гр;
4076;Пан Банан;4607068499744 
4102;"Драже ""Пан Банан"" 50 гр";
4104;"Драже ""Клюква в ШОКе"" ";
4106;"Драже ""Пан Фундук"" 45 гр";
5001;"Конфеты ""Мама Женя""";
5002;"Конфеты""Королевские""(Папа Коля)";
5015;"Конфеты ""Укус женщины""";
5004;"Конфеты ""Мечта женщины""";
5005;"Конфеты ""Слатушонина""";
5010;"Конфеты ""Вологодская сказка""";
5008;Драже Ассорти 330 гр бутылка;4607104564283
5007;Драже Ассорти весовое;
5009;"Конфеты ""Шекснинский рай""";
5011;"Конфеты ""Кочегар Петя""";
5012;Фруктовые в фольге ;
5013;Плотник Вася ;
5014;Колхозница Глаша ;
5020;"Конфеты""Нежный вкус""";
5021;"Конфеты ""Мидель""";
5022;"Конфеты ""Вечность""";
5016;"Конфеты ""Слатушонина""подарочные 270 гр";4607104564306
5017;"Конфеты ""Кочегар Петя"" коробочка 350 гр";4607104561305
5018;Шоколадки Ассорти весовые;
5023;Конфеты Кофейный Аромат;
5024;Конфеты Лунный Свет;
5025;"Конфеты ""Шексна""";
5026;"Конфеты ""ЛЖЖАНО""";
5027;"Конфеты ""Жизнь удалась"" ";
5028;"Конфеты ""Слеза мужчины""";
5029;"Конфеты ""Жолнер""";
5030;"Конфеты ""Владыка Мира";
5031;"Конфеты ""Ребус"" бутылочки ";
5032;"Конфеты ""Шекснинская сладость"" ";
5033;"Конфеты ""Хохотушка Маша"" ";
5034;"Конфеты ""Заводная Теща""";
5035;"Конфеты ""Гламурный отдых""";
5036;"Конфеты ""Милому созданию"" ";
5037;"Конфеты ""Чудесные Игрушки""";4607104564498
5038;"Конфеты ""Дворцовые"" 350 гр";"4607104561299 
4607104561299"
5039;"Конфеты ""Европейские"" в фольге 190 гр ";4607104560674
5040;"Конфеты ""МАМА ЖЕНЯ"" 220 гр ";4607104561749
5041;"Конфеты ""Бемоль""";
5042;"Конфеты ""Марина""";
5043;"Конфеты ""Радуга"" ";
5054;Конфеты Юма;
5055;"Конфеты ""Веселое путешествие"" ";
5056;Конфеты Моей Лианне ;
5057;"Конфеты ""Попробуй и ахнешь""";
5062;"Конфеты ""Сердце востока""";
5044;Конфеты Подарочный набор 280 гр;4607104561183 
5046;Конфеты Подарочный набор  260гр ;
5047;"Драже ""Арахис"" 120гр";4607104565105 
5048;"Драже ""Ассорти"" 140гр";4607104565099 
5049;"Драже ""Ты и Я"" 100гр ";4607104565167 
5050;"Драже ""Лесное Лукошко"" 130гр ";4607104565068 
5051;"Драже ""Акварель"" 140гр";4607104565150 
5058;"Драже ""Марина"" 140гр";4607104565570 
5059;"Драже ""Морской бриз"" 150гр";4607104565976 
5060;"Драже ""Свежее дыхание"" 100гр";4607104565556
5061;"Драже ""Калям-малям"" 100гр";4607104566010 
5063;"Драже ""Победителям"" 150 гр";
5052;"Конфеты ""Всегда С тобой"" 80 гр ";
5053;"Конфеты ""Элитный продукт"" марципан 80гр";
5064;"Конфеты ""В мире цирка"" 55 гр";
5065;"Драже ""Мечта женщины"" 100 гр";
5066;"Шоколадки ""Дедушкины воспоминания"" 60 гр";
5067;"Конфеты ""Гламурный отдых"" ПАКЕТ 200 гр";
5068;"Конфеты ""Жизнь удалась"" ПАКЕТ 200 гр";
5069;"Конфеты ""Кочегар Петя"" ПАКЕТ 200 гр";
5070;"Конфеты ""Мама Женя"" ПАКЕТ 200 гр";
5071;"Конфеты ""Милому созданию"" ПАКЕТ 200 гр";
5072;"Конфеты ""Папа Коля"" ПАКЕТ 200 гр";
5073;"Конфеты ""Слатушонина"" ПАКЕТ 200 гр";
5074;"Напиток ""Базилик"" в ассортименте";
7001;Соус Краснодарский 530 гр;4607054280479
7003;Соус Шашлычный 530 гр;4607054280356
7005;Соус Кубанский 530 гр;4607054280608
7012;Томатная паста 530 гр;4607054280202
7013;Томатная паста 270 гр;4607054280196
7042;"Соус томатный аппетитный ""ХРЕНОВИНА"" ";4607054280394
7043;Горчица Столовая острая ст/б 180 гр ;4607054280929
7017;"Майонез ""Любимый"" 35 % 400 гр ведро ";4607054281032
7018;"Майонез ""Любимый"" 50 % 400 гр ведро ";4607054280455
7019;"Майонез ""Любимый"" 67 % 400 гр ведро";4607054280448
7033;"Майонез ""Любимый"" 15 % 400 гр ведро";4607054280615
7032;"Майонез ""Любимый"" 35 % 800 гр. ведро";4607054280653
7031;"Майонез ""Любимый"" 50% 800 гр. ведро";
7045;"Майонез ""Любимый"" 15 % 800 гр. ведро ""Постный""";
7053;"Майонез ""Классический с льняным маслом"" 50% 380 гр дой-пак ";4607054280011 
7055;"Майонез ""Классический с льняным маслом"" 35% 380 гр дой-пак ";4607054280752 
7020;Масло Золотая Мечта раф.дез. 0,9 л ;4607054280134
7034;"Масло ""Золотая Мечта"" раф.дез. 0,8";4607054280127
7021;Масло Золотая мечта нераф. 0,9 л;4607054280172
7035;Масло Золотая мечта нераф. 0,8 л;4607054280165
7022;Повидло Яблочное 600 гр ст/б ;4607054281001
7023;Повидло Вишневое 600 гр ст/б ;4607054281049
7027;"Конфитюр ""Абрикос с курагой"" 430 гр ст/банка";4607054280790
7028;"Конфитюр ""Клубника"" 430 гр ст/банка";4607054280080
7029;"Конфитюр ""Малиновый"" 430 гр ст/банка";4607054280097
7030;"Конфитюр ""Черника"" 430 гр ст/банка";4607054280103
7024;"Говядина тушеная Премиум ""Вологодский стандарт"" в/с ключ 325 гр ";4607056460022
7051;Завтрак туриста Говядина;4607056460510 
7025;"Свинина тушеная Премиум ""Вологодский стандарт"" ключ 325 гр .";"4607056460596  
4607056460596 
4607056460596
4607056460596"
7026;Завтрак туриста Свинина;4607056460497 
11097;Свинина тушеная высший сорт;
13001;Мясо цыпленка в собственном соку ГОСТ;4607106261906
13002;Цыпленок,мясо ветчинное, консервы 250гр ;
15001;"Пюре натуральное ""Клюква"" п/ф 0,6 кг ";
15002;"Пюре натуральное ""Брусника"" п/ф 0,6 кг";
15003;"Пюре натуральное ""Черника"" п/ф 0,6 кг";
15004;"Пюре натуральное ""Голубика"" п/ф 0,6 кг";
15005;"Пюре натуральное ""Малина"" п/ф 0,6 кг";
15013;"Пюре натуральное ""Ежевика"" п/ф 0,6 кг ";
15014;"Пюре натуральное ""Клубника"" п/ф 0,6 кг ";
15017;"Пюре натуральное ""Вишня"" п/ф 0,6 кг";
15021;"Пюре натуральное ""Крыжовник"" п/ф 0,6 кг";
15023;"Пюре натуральное ""Черная смородина"" п/ф 0,6 кг";
15006;"Пюре натуральное ""Клюква"" п/ф 0,25 кг";
15007;"Пюре натуральное ""Брусника"" п/ф 0,25 кг";
15008;"Пюре натуральное ""Черника"" п/ф 0,25 кг ";
15009;"Пюре натуральное ""Голубика"" п/ф 0,25 кг";
15010;"Пюре натуральное ""Морошка"" п/ф 0,25 кг";
15011;"Пюре натуральное ""Малина"" п/ф 0,25 кг";
15018;"Пюре натуральное ""Вишня"" п/ф 0,25 кг";
15012;"Подарочный набор ""Пюре ягодное"" 3*50 гр";
15015;"Пюре натуральное ""Ежевика"" п/ф 0,25 кг ";
15016;"Пюре натуральное ""Клубника"" п/ф 0,25 кг";
15019;"Пюре натуральное ""Черная смородина"" п/ф 0.25 кг";
15020;"Пюре натуральное ""Облепиха"" 0,3 кг ";
15022;"Пюре натуральное ""Крыжовник"" п/ф 0,3 кг ";
11001;Колбаса Докторская кат. А (батончик по 400 гр);
11015;Колбаса Молочная в натуральной оболочке кат.Б ;
11003;Сосиски Молочные кат Б ;
11004;Сардельки молочные в нат.обол.кат. Б;
11005;Колбаса Русская п/к(400-500 гр);
11006;Колбаса Юбилейная в/к в/с в/у (700-800 гр);
11090;Колбаса Юбилейная в/к 1 сорт;
11008;Новомосковская в/к в/у(300-400 гр);
11009;Сервелат Боярский в/к в/у 300 гр;
11010;Бок свиной в/к в/у( 700-800 гр);
11011;"Свинина ""Челси"" в/у(300-500 гр)";
11013;"Сыровяленые колбаски""Итальянские""(200гр)";
11007;Краковская п/к оригинальная ( 600-700 гр);
11012;Говядина с/к в в/у  ( 200-300 гр);
11016;Сервелат Ореховый в/к (300-400 гр);
11017;Ветчина в оболочке вареная;
11002;Колбаса Ветчинная вареная (батончик по 400 гр);
11014;Пастрома птицы с/к в/у (200 гр);
11018;Сосиски с сыром ;
11019;Сервелат Невский п/к (300-400 гр);
11020;Колбаса Русская кат Б ВАРЕНАЯ ( 2 кг);
11021;Венская Салями;
11022;Шпик копченый острый ;
11023;Шпик соленый домашний;
11024;Шпик копченый кубанский;
11025;Грудка птицы(куриная) к/в в/у(500 гр);
11026;Буженина Праздничная;
11027;"Карбонад ""Восточный"" к/в в в/у";
11028;"Колбаса ""Российская"" в/к( 300 гр)";
11029;Говядина особая ( к/в ) в/у (900 гр);
11030;Окорочок птицы куриный в/у к/в (400 гр);
11031;Шейка Подмосковная к/в в/у  в.с.(1000 гр);
11032;Колбаса Рубцовая вареная;
11033;Балык свиной с/к в/у( 500 гр);
11035;Сервелат мускатный в/к;
11036;Филе куриное Южное (к/в) в/у( 300 гр);
11037;"Колбаски полукопченые ""Шашлычные""";
11038;Колбаса Варшавская в/к ;
11039;"Колбаса вареная ""Свиная"" ";
11040;"Колбаса ""Свиная"" п/к ";
11041;Купаты свиные по Череповецки;
11042;Колбаски гриль с сыром ;
11043;Сервелат  с/к ;
11044;Балыковая  с/к  б/с;
11045;Московская с/к в/с;
11054;Столичная с/к в/с;
11086;Колбаса Парижский сервелат с/к;
11087;Колбаса Салями Подмосковная с/к;
11052;Ветчина Купеческая вареная;
11046;"Балык ""Семейный"" к/в";
11047;Карпаччо из свинины  с/к (150 гр);
11048;Карпаччо из говядины с/к (150 гр);
11049;"Колбаски п/к  ""Снеки"" ";
11050;"Окорок ""Мичуринский"" в/у к/в ( 500 гр)";
11051;Холодец;
11053;Колбаса Молочная кат.Б;
11055;Ветчина куриная в оболочке;
11056;Фарш по домашнему;
11061;Дворянская вареная ;
11062;Сосиски Прибалтийские;
11063;Продукт Слоеный;
11074;Колбаса Сливочная вареная;
11077;Шейка свиная с/к в/у;
11078;Салями Королевская с/к ;
11079;Сервелат по-фински с/к ;
